,Episode Batch,Learning Rate,Mean Absolute Error,Mean Squared Error,Batch Gym Reward,Batch User Reward,Avg. Episode Length (t),BAC Gradient,Policy Evolution
0,1.0,0.025,1.421408484894465,2.0204020809299785,-499.5000000000451,-4995.0,999.0,"[[ 0.01616356]
 [ 0.05278312]
 [ 0.09538367]
 [ 0.09538367]
 [ 0.04042479]
 [ 0.13200965]
 [ 0.23855289]
 [ 0.23855289]
 [ 0.05594733]
 [ 0.1826995 ]
 [ 0.33015384]
 [ 0.33015384]
 [ 0.04284815]
 [ 0.13992331]
 [ 0.25285355]
 [ 0.25285355]
 [-0.01616356]
 [-0.05278312]
 [-0.09538367]
 [-0.09538367]
 [-0.04042479]
 [-0.13200965]
 [-0.23855289]
 [-0.23855289]
 [-0.05594733]
 [-0.1826995 ]
 [-0.33015384]
 [-0.33015384]
 [-0.04284815]
 [-0.13992331]
 [-0.25285355]
 [-0.25285355]]","[[ 0.00040409]
 [ 0.00131958]
 [ 0.00238459]
 [ 0.00238459]
 [ 0.00101062]
 [ 0.00330024]
 [ 0.00596382]
 [ 0.00596382]
 [ 0.00139868]
 [ 0.00456749]
 [ 0.00825385]
 [ 0.00825385]
 [ 0.0010712 ]
 [ 0.00349808]
 [ 0.00632134]
 [ 0.00632134]
 [-0.00040409]
 [-0.00131958]
 [-0.00238459]
 [-0.00238459]
 [-0.00101062]
 [-0.00330024]
 [-0.00596382]
 [-0.00596382]
 [-0.00139868]
 [-0.00456749]
 [-0.00825385]
 [-0.00825385]
 [-0.0010712 ]
 [-0.00349808]
 [-0.00632134]
 [-0.00632134]]"
1,2.0,0.025,0.737655039981977,1.0882699160216243,-338.6000000000028,-4386.0,877.2,"[[ 0.44136668]
 [ 0.81532278]
 [ 0.87186514]
 [ 0.55163308]
 [ 0.73115113]
 [ 1.37474296]
 [ 1.52435838]
 [ 1.01992339]
 [ 0.76467675]
 [ 1.45538283]
 [ 1.66119506]
 [ 1.16138543]
 [ 0.51131073]
 [ 0.97356675]
 [ 1.12419555]
 [ 0.80285199]
 [-0.44136668]
 [-0.81532278]
 [-0.87186514]
 [-0.55163308]
 [-0.73115113]
 [-1.37474296]
 [-1.52435838]
 [-1.01992339]
 [-0.76467675]
 [-1.45538283]
 [-1.66119506]
 [-1.16138543]
 [-0.51131073]
 [-0.97356675]
 [-1.12419555]
 [-0.80285199]]","[[ 0.01143826]
 [ 0.02170265]
 [ 0.02418122]
 [ 0.01617542]
 [ 0.0192894 ]
 [ 0.03766882]
 [ 0.04407278]
 [ 0.03146191]
 [ 0.0205156 ]
 [ 0.04095206]
 [ 0.04978372]
 [ 0.03728848]
 [ 0.01385397]
 [ 0.02783725]
 [ 0.03442623]
 [ 0.02639264]
 [-0.01143826]
 [-0.02170265]
 [-0.02418122]
 [-0.01617542]
 [-0.0192894 ]
 [-0.03766882]
 [-0.04407278]
 [-0.03146191]
 [-0.0205156 ]
 [-0.04095206]
 [-0.04978372]
 [-0.03728848]
 [-0.01385397]
 [-0.02783725]
 [-0.03442623]
 [-0.02639264]]"
2,3.0,0.025,0.5510680904735507,0.9110281210144962,-499.5000000000451,-4995.0,999.0,"[[ 0.03643253]
 [ 0.05902683]
 [ 0.02886463]
 [-0.03781583]
 [ 0.13404234]
 [ 0.19703301]
 [ 0.03858854]
 [-0.23960119]
 [ 0.27782109]
 [ 0.37172384]
 [-0.04670152]
 [-0.69055132]
 [ 0.32180163]
 [ 0.39055723]
 [-0.19599706]
 [-1.02263542]
 [-0.03643253]
 [-0.05902683]
 [-0.02886463]
 [ 0.03781583]
 [-0.13404234]
 [-0.19703301]
 [-0.03858854]
 [ 0.23960119]
 [-0.27782109]
 [-0.37172384]
 [ 0.04670152]
 [ 0.69055132]
 [-0.32180163]
 [-0.39055723]
 [ 0.19599706]
 [ 1.02263542]]","[[ 0.01234907]
 [ 0.02317832]
 [ 0.02490284]
 [ 0.01523002]
 [ 0.02264046]
 [ 0.04259464]
 [ 0.0450375 ]
 [ 0.02547188]
 [ 0.02746113]
 [ 0.05024515]
 [ 0.04861618]
 [ 0.0200247 ]
 [ 0.02189901]
 [ 0.03760118]
 [ 0.0295263 ]
 [ 0.00082675]
 [-0.01234907]
 [-0.02317832]
 [-0.02490284]
 [-0.01523002]
 [-0.02264046]
 [-0.04259464]
 [-0.0450375 ]
 [-0.02547188]
 [-0.02746113]
 [-0.05024515]
 [-0.04861618]
 [-0.0200247 ]
 [-0.02189901]
 [-0.03760118]
 [-0.0295263 ]
 [-0.00082675]]"
3,4.0,0.025,0.20504094164029385,0.16816715099495355,-357.6000000000355,-4576.0,915.2,"[[-0.18684502]
 [-0.55010037]
 [-0.9961355 ]
 [-1.17175783]
 [-0.30060069]
 [-0.94828196]
 [-1.86105654]
 [-2.37000741]
 [-0.30181448]
 [-1.01265205]
 [-2.11108661]
 [-2.82524928]
 [-0.18686126]
 [-0.65461341]
 [-1.41423356]
 [-1.93914283]
 [ 0.18684502]
 [ 0.55010037]
 [ 0.9961355 ]
 [ 1.17175783]
 [ 0.30060069]
 [ 0.94828196]
 [ 1.86105654]
 [ 2.37000741]
 [ 0.30181448]
 [ 1.01265205]
 [ 2.11108661]
 [ 2.82524928]
 [ 0.18686126]
 [ 0.65461341]
 [ 1.41423356]
 [ 1.93914283]]","[[ 7.67794380e-03]
 [ 9.42580876e-03]
 [-5.51616905e-07]
 [-1.40639228e-02]
 [ 1.51254391e-02]
 [ 1.88875915e-02]
 [-1.48891835e-03]
 [-3.37783081e-02]
 [ 1.99157673e-02]
 [ 2.49288532e-02]
 [-4.16098068e-03]
 [-5.06065333e-02]
 [ 1.72274811e-02]
 [ 2.12358469e-02]
 [-5.82953825e-03]
 [-4.76518177e-02]
 [-7.67794380e-03]
 [-9.42580876e-03]
 [ 5.51616905e-07]
 [ 1.40639228e-02]
 [-1.51254391e-02]
 [-1.88875915e-02]
 [ 1.48891835e-03]
 [ 3.37783081e-02]
 [-1.99157673e-02]
 [-2.49288532e-02]
 [ 4.16098068e-03]
 [ 5.06065333e-02]
 [-1.72274811e-02]
 [-2.12358469e-02]
 [ 5.82953825e-03]
 [ 4.76518177e-02]]"
4,5.0,0.025,0.1356973008146282,0.09206878724187846,-204.4999999999919,-4045.0,809.0,"[[-0.00433834]
 [ 0.08079791]
 [ 0.23421081]
 [ 0.27954376]
 [-0.07141628]
 [ 0.11213893]
 [ 0.52340322]
 [ 0.68826263]
 [-0.22482067]
 [-0.03916672]
 [ 0.57472628]
 [ 0.90649428]
 [-0.31578378]
 [-0.25723809]
 [ 0.25400246]
 [ 0.62347   ]
 [ 0.00433834]
 [-0.08079791]
 [-0.23421081]
 [-0.27954376]
 [ 0.07141628]
 [-0.11213893]
 [-0.52340322]
 [-0.68826263]
 [ 0.22482067]
 [ 0.03916672]
 [-0.57472628]
 [-0.90649428]
 [ 0.31578378]
 [ 0.25723809]
 [-0.25400246]
 [-0.62347   ]]","[[ 0.00756949]
 [ 0.01144576]
 [ 0.00585472]
 [-0.00707533]
 [ 0.01334003]
 [ 0.02169106]
 [ 0.01159616]
 [-0.01657174]
 [ 0.01429525]
 [ 0.02394969]
 [ 0.01020718]
 [-0.02794418]
 [ 0.00933289]
 [ 0.01480489]
 [ 0.00052052]
 [-0.03206507]
 [-0.00756949]
 [-0.01144576]
 [-0.00585472]
 [ 0.00707533]
 [-0.01334003]
 [-0.02169106]
 [-0.01159616]
 [ 0.01657174]
 [-0.01429525]
 [-0.02394969]
 [-0.01020718]
 [ 0.02794418]
 [-0.00933289]
 [-0.01480489]
 [-0.00052052]
 [ 0.03206507]]"
5,6.0,0.025,0.2561840610492569,0.39378163881413636,-499.5000000000451,-4995.0,999.0,"[[ 0.07515089]
 [ 0.27147268]
 [ 0.58892324]
 [ 0.77139909]
 [ 0.16357211]
 [ 0.57593515]
 [ 1.19333544]
 [ 1.47342932]
 [ 0.20774144]
 [ 0.71510948]
 [ 1.42287468]
 [ 1.66054775]
 [ 0.15135914]
 [ 0.51199784]
 [ 0.98695435]
 [ 1.09846213]
 [-0.07515089]
 [-0.27147268]
 [-0.58892324]
 [-0.77139909]
 [-0.16357211]
 [-0.57593515]
 [-1.19333544]
 [-1.47342932]
 [-0.20774144]
 [-0.71510948]
 [-1.42287468]
 [-1.66054775]
 [-0.15135914]
 [-0.51199784]
 [-0.98695435]
 [-1.09846213]]","[[ 0.00944826]
 [ 0.01823257]
 [ 0.0205778 ]
 [ 0.01220965]
 [ 0.01742933]
 [ 0.03608944]
 [ 0.04142955]
 [ 0.02026399]
 [ 0.01948879]
 [ 0.04182742]
 [ 0.04577904]
 [ 0.01356952]
 [ 0.01311686]
 [ 0.02760484]
 [ 0.02519438]
 [-0.00460351]
 [-0.00944826]
 [-0.01823257]
 [-0.0205778 ]
 [-0.01220965]
 [-0.01742933]
 [-0.03608944]
 [-0.04142955]
 [-0.02026399]
 [-0.01948879]
 [-0.04182742]
 [-0.04577904]
 [-0.01356952]
 [-0.01311686]
 [-0.02760484]
 [-0.02519438]
 [ 0.00460351]]"
6,7.0,0.025,0.2017848572168807,0.2850199002142585,-499.5000000000451,-4995.0,999.0,"[[ 0.03361712]
 [ 0.09030261]
 [ 0.09148317]
 [-0.05670592]
 [ 0.07174448]
 [ 0.18819187]
 [ 0.1765834 ]
 [-0.15352353]
 [ 0.07644673]
 [ 0.18370726]
 [ 0.11302211]
 [-0.30958557]
 [ 0.0320397 ]
 [ 0.04502679]
 [-0.09837346]
 [-0.41994776]
 [-0.03361712]
 [-0.09030261]
 [-0.09148317]
 [ 0.05670592]
 [-0.07174448]
 [-0.18819187]
 [-0.1765834 ]
 [ 0.15352353]
 [-0.07644673]
 [-0.18370726]
 [-0.11302211]
 [ 0.30958557]
 [-0.0320397 ]
 [-0.04502679]
 [ 0.09837346]
 [ 0.41994776]]","[[ 0.01028869]
 [ 0.02049014]
 [ 0.02286488]
 [ 0.010792  ]
 [ 0.01922295]
 [ 0.04079424]
 [ 0.04584413]
 [ 0.0164259 ]
 [ 0.02139995]
 [ 0.0464201 ]
 [ 0.0486046 ]
 [ 0.00582988]
 [ 0.01391786]
 [ 0.02873051]
 [ 0.02273505]
 [-0.01510221]
 [-0.01028869]
 [-0.02049014]
 [-0.02286488]
 [-0.010792  ]
 [-0.01922295]
 [-0.04079424]
 [-0.04584413]
 [-0.0164259 ]
 [-0.02139995]
 [-0.0464201 ]
 [-0.0486046 ]
 [-0.00582988]
 [-0.01391786]
 [-0.02873051]
 [-0.02273505]
 [ 0.01510221]]"
7,8.0,0.025,0.06777711627428472,0.03674989992366328,-236.6999999999905,-4367.0,873.4,"[[ 0.36227866]
 [ 0.38924046]
 [ 0.02622164]
 [-0.41201054]
 [ 0.50639982]
 [ 0.64799152]
 [ 0.35293289]
 [-0.11794617]
 [ 0.41370029]
 [ 0.66478139]
 [ 0.71575783]
 [ 0.54951095]
 [ 0.20390129]
 [ 0.42765651]
 [ 0.68390743]
 [ 0.79694172]
 [-0.36227866]
 [-0.38924046]
 [-0.02622164]
 [ 0.41201054]
 [-0.50639982]
 [-0.64799152]
 [-0.35293289]
 [ 0.11794617]
 [-0.41370029]
 [-0.66478139]
 [-0.71575783]
 [-0.54951095]
 [-0.20390129]
 [-0.42765651]
 [-0.68390743]
 [-0.79694172]]","[[ 0.01934565]
 [ 0.03022115]
 [ 0.02352042]
 [ 0.00049174]
 [ 0.03188294]
 [ 0.05699403]
 [ 0.05466746]
 [ 0.01347725]
 [ 0.03174246]
 [ 0.06303964]
 [ 0.06649854]
 [ 0.01956765]
 [ 0.01901539]
 [ 0.03942192]
 [ 0.03983273]
 [ 0.00482133]
 [-0.01934565]
 [-0.03022115]
 [-0.02352042]
 [-0.00049174]
 [-0.03188294]
 [-0.05699403]
 [-0.05466746]
 [-0.01347725]
 [-0.03174246]
 [-0.06303964]
 [-0.06649854]
 [-0.01956765]
 [-0.01901539]
 [-0.03942192]
 [-0.03983273]
 [-0.00482133]]"
8,9.0,0.025,0.16204577386057206,0.23632949543464493,-499.5000000000451,-4995.0,999.0,"[[ 0.47730233]
 [ 1.15337443]
 [ 1.61952953]
 [ 1.32448235]
 [ 1.00220268]
 [ 2.48356295]
 [ 3.59551394]
 [ 3.03640976]
 [ 1.40395983]
 [ 3.45941192]
 [ 5.00141266]
 [ 4.23221338]
 [ 1.30905625]
 [ 3.11049485]
 [ 4.34470799]
 [ 3.57014053]
 [-0.47730233]
 [-1.15337443]
 [-1.61952953]
 [-1.32448235]
 [-1.00220268]
 [-2.48356295]
 [-3.59551394]
 [-3.03640976]
 [-1.40395983]
 [-3.45941192]
 [-5.00141266]
 [-4.23221338]
 [-1.30905625]
 [-3.11049485]
 [-4.34470799]
 [-3.57014053]]","[[ 0.03127821]
 [ 0.05905551]
 [ 0.06400866]
 [ 0.0336038 ]
 [ 0.05693801]
 [ 0.1190831 ]
 [ 0.1445553 ]
 [ 0.08938749]
 [ 0.06684146]
 [ 0.14952494]
 [ 0.19153386]
 [ 0.12537299]
 [ 0.0517418 ]
 [ 0.11718429]
 [ 0.14845043]
 [ 0.09407485]
 [-0.03127821]
 [-0.05905551]
 [-0.06400866]
 [-0.0336038 ]
 [-0.05693801]
 [-0.1190831 ]
 [-0.1445553 ]
 [-0.08938749]
 [-0.06684146]
 [-0.14952494]
 [-0.19153386]
 [-0.12537299]
 [-0.0517418 ]
 [-0.11718429]
 [-0.14845043]
 [-0.09407485]]"
9,10.0,0.025,0.17977718789929722,0.3231983728897922,-499.5000000000451,-4995.0,999.0,"[[-0.29802376]
 [-0.59560033]
 [-1.09918582]
 [-1.5138026 ]
 [-1.09360409]
 [-1.74269199]
 [-2.20281455]
 [-2.36996662]
 [-1.57364444]
 [-2.31196098]
 [-2.40137444]
 [-2.09944236]
 [-1.13344921]
 [-1.59390486]
 [-1.46283374]
 [-1.06585   ]
 [ 0.29802376]
 [ 0.59560033]
 [ 1.09918582]
 [ 1.5138026 ]
 [ 1.09360409]
 [ 1.74269199]
 [ 2.20281455]
 [ 2.36996662]
 [ 1.57364444]
 [ 2.31196098]
 [ 2.40137444]
 [ 2.09944236]
 [ 1.13344921]
 [ 1.59390486]
 [ 1.46283374]
 [ 1.06585   ]]","[[ 0.02382762]
 [ 0.0441655 ]
 [ 0.03652901]
 [-0.00424127]
 [ 0.02959791]
 [ 0.0755158 ]
 [ 0.08948494]
 [ 0.03013833]
 [ 0.02750035]
 [ 0.09172591]
 [ 0.1314995 ]
 [ 0.07288693]
 [ 0.02340557]
 [ 0.07733667]
 [ 0.11187959]
 [ 0.0674286 ]
 [-0.02382762]
 [-0.0441655 ]
 [-0.03652901]
 [ 0.00424127]
 [-0.02959791]
 [-0.0755158 ]
 [-0.08948494]
 [-0.03013833]
 [-0.02750035]
 [-0.09172591]
 [-0.1314995 ]
 [-0.07288693]
 [-0.02340557]
 [-0.07733667]
 [-0.11187959]
 [-0.0674286 ]]"
10,11.0,0.025,0.09158462194201146,0.09226517273887282,-499.5000000000451,-4995.0,999.0,"[[ 0.14767795]
 [ 0.35665713]
 [ 0.35217818]
 [-0.09971339]
 [ 0.23276318]
 [ 0.54440396]
 [ 0.43308441]
 [-0.48130263]
 [ 0.22339375]
 [ 0.514895  ]
 [ 0.33383429]
 [-0.71440719]
 [ 0.13531936]
 [ 0.31840453]
 [ 0.20630699]
 [-0.47013901]
 [-0.14767795]
 [-0.35665713]
 [-0.35217818]
 [ 0.09971339]
 [-0.23276318]
 [-0.54440396]
 [-0.43308441]
 [ 0.48130263]
 [-0.22339375]
 [-0.514895  ]
 [-0.33383429]
 [ 0.71440719]
 [-0.13531936]
 [-0.31840453]
 [-0.20630699]
 [ 0.47013901]]","[[ 0.02751956]
 [ 0.05308193]
 [ 0.04533347]
 [-0.0067341 ]
 [ 0.03541699]
 [ 0.0891259 ]
 [ 0.10031205]
 [ 0.01810576]
 [ 0.03308519]
 [ 0.10459829]
 [ 0.13984535]
 [ 0.05502675]
 [ 0.02678855]
 [ 0.08529679]
 [ 0.11703726]
 [ 0.05567512]
 [-0.02751956]
 [-0.05308193]
 [-0.04533347]
 [ 0.0067341 ]
 [-0.03541699]
 [-0.0891259 ]
 [-0.10031205]
 [-0.01810576]
 [-0.03308519]
 [-0.10459829]
 [-0.13984535]
 [-0.05502675]
 [-0.02678855]
 [-0.08529679]
 [-0.11703726]
 [-0.05567512]]"
