,Episode Batch,Learning Rate,Mean Absolute Error,Mean Squared Error,Batch Gym Reward,Batch User Reward,BAC Gradient,Policy Evolution
0,1.0,0.025,0.7945698519856648,0.6313412496845212,0.0,-4995.0,"[[-0.02313745]
 [-0.07555679]
 [-0.13653767]
 [-0.13653767]
 [-0.05228722]
 [-0.17074716]
 [-0.30855492]
 [-0.30855492]
 [-0.06538777]
 [-0.21352784]
 [-0.38586332]
 [-0.38586332]
 [-0.04525   ]
 [-0.14776669]
 [-0.26702721]
 [-0.26702721]
 [ 0.02313745]
 [ 0.07555679]
 [ 0.13653767]
 [ 0.13653767]
 [ 0.05228722]
 [ 0.17074716]
 [ 0.30855492]
 [ 0.30855492]
 [ 0.06538777]
 [ 0.21352784]
 [ 0.38586332]
 [ 0.38586332]
 [ 0.04525   ]
 [ 0.14776669]
 [ 0.26702721]
 [ 0.26702721]]","[[-0.00057844]
 [-0.00188892]
 [-0.00341344]
 [-0.00341344]
 [-0.00130718]
 [-0.00426868]
 [-0.00771387]
 [-0.00771387]
 [-0.00163469]
 [-0.0053382 ]
 [-0.00964658]
 [-0.00964658]
 [-0.00113125]
 [-0.00369417]
 [-0.00667568]
 [-0.00667568]
 [ 0.00057844]
 [ 0.00188892]
 [ 0.00341344]
 [ 0.00341344]
 [ 0.00130718]
 [ 0.00426868]
 [ 0.00771387]
 [ 0.00771387]
 [ 0.00163469]
 [ 0.0053382 ]
 [ 0.00964658]
 [ 0.00964658]
 [ 0.00113125]
 [ 0.00369417]
 [ 0.00667568]
 [ 0.00667568]]"
1,2.0,0.025,0.45178020908637617,0.40821071464425956,0.0,-4995.0,"[[-0.01835464]
 [-0.05993823]
 [-0.10831358]
 [-0.10831358]
 [-0.0455211 ]
 [-0.14865199]
 [-0.26862704]
 [-0.26862704]
 [-0.06247418]
 [-0.20401334]
 [-0.36866978]
 [-0.36866978]
 [-0.04744707]
 [-0.15494137]
 [-0.27999249]
 [-0.27999249]
 [ 0.01835464]
 [ 0.05993823]
 [ 0.10831358]
 [ 0.10831358]
 [ 0.0455211 ]
 [ 0.14865199]
 [ 0.26862704]
 [ 0.26862704]
 [ 0.06247418]
 [ 0.20401334]
 [ 0.36866978]
 [ 0.36866978]
 [ 0.04744707]
 [ 0.15494137]
 [ 0.27999249]
 [ 0.27999249]]","[[-0.0010373 ]
 [-0.00338738]
 [-0.00612128]
 [-0.00612128]
 [-0.00244521]
 [-0.00798498]
 [-0.01442955]
 [-0.01442955]
 [-0.00319655]
 [-0.01043853]
 [-0.01886333]
 [-0.01886333]
 [-0.00231743]
 [-0.0075677 ]
 [-0.01367549]
 [-0.01367549]
 [ 0.0010373 ]
 [ 0.00338738]
 [ 0.00612128]
 [ 0.00612128]
 [ 0.00244521]
 [ 0.00798498]
 [ 0.01442955]
 [ 0.01442955]
 [ 0.00319655]
 [ 0.01043853]
 [ 0.01886333]
 [ 0.01886333]
 [ 0.00231743]
 [ 0.0075677 ]
 [ 0.01367549]
 [ 0.01367549]]"
2,3.0,0.025,0.33761808348133693,0.341957910880833,0.0,-4995.0,"[[-0.01364161]
 [-0.04454751]
 [-0.08050122]
 [-0.08050122]
 [-0.03804848]
 [-0.12424967]
 [-0.22452993]
 [-0.22452993]
 [-0.05872596]
 [-0.19177326]
 [-0.34655091]
 [-0.34655091]
 [-0.05015843]
 [-0.16379547]
 [-0.29599261]
 [-0.29599261]
 [ 0.01364161]
 [ 0.04454751]
 [ 0.08050122]
 [ 0.08050122]
 [ 0.03804848]
 [ 0.12424967]
 [ 0.22452993]
 [ 0.22452993]
 [ 0.05872596]
 [ 0.19177326]
 [ 0.34655091]
 [ 0.34655091]
 [ 0.05015843]
 [ 0.16379547]
 [ 0.29599261]
 [ 0.29599261]]","[[-0.00137834]
 [-0.00450106]
 [-0.00813381]
 [-0.00813381]
 [-0.00339642]
 [-0.01109122]
 [-0.0200428 ]
 [-0.0200428 ]
 [-0.0046647 ]
 [-0.01523286]
 [-0.0275271 ]
 [-0.0275271 ]
 [-0.00357139]
 [-0.01166259]
 [-0.02107531]
 [-0.02107531]
 [ 0.00137834]
 [ 0.00450106]
 [ 0.00813381]
 [ 0.00813381]
 [ 0.00339642]
 [ 0.01109122]
 [ 0.0200428 ]
 [ 0.0200428 ]
 [ 0.0046647 ]
 [ 0.01523286]
 [ 0.0275271 ]
 [ 0.0275271 ]
 [ 0.00357139]
 [ 0.01166259]
 [ 0.02107531]
 [ 0.02107531]]"
3,4.0,0.025,0.2225059282693354,0.19803555245999455,0.0,-4995.0,"[[-0.01688885]
 [-0.05515159]
 [-0.09966369]
 [-0.09966369]
 [-0.04169724]
 [-0.13616493]
 [-0.24606183]
 [-0.24606183]
 [-0.05696861]
 [-0.18603453]
 [-0.33618052]
 [-0.33618052]
 [-0.043071  ]
 [-0.14065102]
 [-0.25416858]
 [-0.25416858]
 [ 0.01688885]
 [ 0.05515159]
 [ 0.09966369]
 [ 0.09966369]
 [ 0.04169724]
 [ 0.13616493]
 [ 0.24606183]
 [ 0.24606183]
 [ 0.05696861]
 [ 0.18603453]
 [ 0.33618052]
 [ 0.33618052]
 [ 0.043071  ]
 [ 0.14065102]
 [ 0.25416858]
 [ 0.25416858]]","[[-0.00180056]
 [-0.00587985]
 [-0.0106254 ]
 [-0.0106254 ]
 [-0.00443885]
 [-0.01449534]
 [-0.02619434]
 [-0.02619434]
 [-0.00608891]
 [-0.01988372]
 [-0.03593161]
 [-0.03593161]
 [-0.00464816]
 [-0.01517886]
 [-0.02742952]
 [-0.02742952]
 [ 0.00180056]
 [ 0.00587985]
 [ 0.0106254 ]
 [ 0.0106254 ]
 [ 0.00443885]
 [ 0.01449534]
 [ 0.02619434]
 [ 0.02619434]
 [ 0.00608891]
 [ 0.01988372]
 [ 0.03593161]
 [ 0.03593161]
 [ 0.00464816]
 [ 0.01517886]
 [ 0.02742952]
 [ 0.02742952]]"
4,5.0,0.025,0.20176874729365327,0.20355313692225058,0.0,-4995.0,"[[-0.01225485]
 [-0.04001897]
 [-0.07231775]
 [-0.07231775]
 [-0.0344455 ]
 [-0.11248394]
 [-0.20326823]
 [-0.20326823]
 [-0.05357697]
 [-0.17495894]
 [-0.31616597]
 [-0.31616597]
 [-0.04611528]
 [-0.1505923 ]
 [-0.27213335]
 [-0.27213335]
 [ 0.01225485]
 [ 0.04001897]
 [ 0.07231775]
 [ 0.07231775]
 [ 0.0344455 ]
 [ 0.11248394]
 [ 0.20326823]
 [ 0.20326823]
 [ 0.05357697]
 [ 0.17495894]
 [ 0.31616597]
 [ 0.31616597]
 [ 0.04611528]
 [ 0.1505923 ]
 [ 0.27213335]
 [ 0.27213335]]","[[-0.00210693]
 [-0.00688033]
 [-0.01243335]
 [-0.01243335]
 [-0.00529999]
 [-0.01730744]
 [-0.03127605]
 [-0.03127605]
 [-0.00742834]
 [-0.0242577 ]
 [-0.04383576]
 [-0.04383576]
 [-0.00580104]
 [-0.01894367]
 [-0.03423286]
 [-0.03423286]
 [ 0.00210693]
 [ 0.00688033]
 [ 0.01243335]
 [ 0.01243335]
 [ 0.00529999]
 [ 0.01730744]
 [ 0.03127605]
 [ 0.03127605]
 [ 0.00742834]
 [ 0.0242577 ]
 [ 0.04383576]
 [ 0.04383576]
 [ 0.00580104]
 [ 0.01894367]
 [ 0.03423286]
 [ 0.03423286]]"
5,6.0,0.025,0.16049480038336528,0.1545514857005776,0.0,-4995.0,"[[-0.01457361]
 [-0.04759102]
 [-0.0860011 ]
 [-0.0860011 ]
 [-0.03699126]
 [-0.12079725]
 [-0.21829111]
 [-0.21829111]
 [-0.05195797]
 [-0.16967197]
 [-0.30661196]
 [-0.30661196]
 [-0.04038557]
 [-0.13188159]
 [-0.23832147]
 [-0.23832147]
 [ 0.01457361]
 [ 0.04759102]
 [ 0.0860011 ]
 [ 0.0860011 ]
 [ 0.03699126]
 [ 0.12079725]
 [ 0.21829111]
 [ 0.21829111]
 [ 0.05195797]
 [ 0.16967197]
 [ 0.30661196]
 [ 0.30661196]
 [ 0.04038557]
 [ 0.13188159]
 [ 0.23832147]
 [ 0.23832147]]","[[-0.00247128]
 [-0.0080701 ]
 [-0.01458338]
 [-0.01458338]
 [-0.00622477]
 [-0.02032737]
 [-0.03673333]
 [-0.03673333]
 [-0.00872729]
 [-0.0284995 ]
 [-0.05150106]
 [-0.05150106]
 [-0.00681068]
 [-0.02224071]
 [-0.04019089]
 [-0.04019089]
 [ 0.00247128]
 [ 0.0080701 ]
 [ 0.01458338]
 [ 0.01458338]
 [ 0.00622477]
 [ 0.02032737]
 [ 0.03673333]
 [ 0.03673333]
 [ 0.00872729]
 [ 0.0284995 ]
 [ 0.05150106]
 [ 0.05150106]
 [ 0.00681068]
 [ 0.02224071]
 [ 0.04019089]
 [ 0.04019089]]"
6,7.0,0.025,0.14515597505033884,0.14749179964970213,0.0,-4995.0,"[[-0.01280881]
 [-0.04182798]
 [-0.07558679]
 [-0.07558679]
 [-0.03385865]
 [-0.11056752]
 [-0.19980509]
 [-0.19980509]
 [-0.04952806]
 [-0.16173695]
 [-0.29227269]
 [-0.29227269]
 [-0.04009166]
 [-0.1309218 ]
 [-0.23658703]
 [-0.23658703]
 [ 0.01280881]
 [ 0.04182798]
 [ 0.07558679]
 [ 0.07558679]
 [ 0.03385865]
 [ 0.11056752]
 [ 0.19980509]
 [ 0.19980509]
 [ 0.04952806]
 [ 0.16173695]
 [ 0.29227269]
 [ 0.29227269]
 [ 0.04009166]
 [ 0.1309218 ]
 [ 0.23658703]
 [ 0.23658703]]","[[-0.0027915 ]
 [-0.0091158 ]
 [-0.01647304]
 [-0.01647304]
 [-0.00707124]
 [-0.02309156]
 [-0.04172845]
 [-0.04172845]
 [-0.00996549]
 [-0.03254292]
 [-0.05880788]
 [-0.05880788]
 [-0.00781297]
 [-0.02551376]
 [-0.04610557]
 [-0.04610557]
 [ 0.0027915 ]
 [ 0.0091158 ]
 [ 0.01647304]
 [ 0.01647304]
 [ 0.00707124]
 [ 0.02309156]
 [ 0.04172845]
 [ 0.04172845]
 [ 0.00996549]
 [ 0.03254292]
 [ 0.05880788]
 [ 0.05880788]
 [ 0.00781297]
 [ 0.02551376]
 [ 0.04610557]
 [ 0.04610557]]"
7,8.0,0.025,0.10341425527616546,0.08555606555459133,0.0,-4995.0,"[[-0.01470558]
 [-0.04802198]
 [-0.08677988]
 [-0.08677988]
 [-0.03559105]
 [-0.11622478]
 [-0.21002825]
 [-0.21002825]
 [-0.04766729]
 [-0.15566051]
 [-0.28129202]
 [-0.28129202]
 [-0.03532817]
 [-0.11536635]
 [-0.20847699]
 [-0.20847699]
 [ 0.01470558]
 [ 0.04802198]
 [ 0.08677988]
 [ 0.08677988]
 [ 0.03559105]
 [ 0.11622478]
 [ 0.21002825]
 [ 0.21002825]
 [ 0.04766729]
 [ 0.15566051]
 [ 0.28129202]
 [ 0.28129202]
 [ 0.03532817]
 [ 0.11536635]
 [ 0.20847699]
 [ 0.20847699]]","[[-0.00315913]
 [-0.01031635]
 [-0.01864254]
 [-0.01864254]
 [-0.00796101]
 [-0.02599718]
 [-0.04697916]
 [-0.04697916]
 [-0.01115717]
 [-0.03643443]
 [-0.06584018]
 [-0.06584018]
 [-0.00869618]
 [-0.02839791]
 [-0.05131749]
 [-0.05131749]
 [ 0.00315913]
 [ 0.01031635]
 [ 0.01864254]
 [ 0.01864254]
 [ 0.00796101]
 [ 0.02599718]
 [ 0.04697916]
 [ 0.04697916]
 [ 0.01115717]
 [ 0.03643443]
 [ 0.06584018]
 [ 0.06584018]
 [ 0.00869618]
 [ 0.02839791]
 [ 0.05131749]
 [ 0.05131749]]"
8,9.0,0.025,0.11340035019921318,0.11573675482773768,0.0,-4995.0,"[[-0.01098542]
 [-0.03587357]
 [-0.06482665]
 [-0.06482665]
 [-0.0299835 ]
 [-0.097913  ]
 [-0.17693728]
 [-0.17693728]
 [-0.04528654]
 [-0.14788602]
 [-0.26724286]
 [-0.26724286]
 [-0.03785096]
 [-0.12360468]
 [-0.22336436]
 [-0.22336436]
 [ 0.01098542]
 [ 0.03587357]
 [ 0.06482665]
 [ 0.06482665]
 [ 0.0299835 ]
 [ 0.097913  ]
 [ 0.17693728]
 [ 0.17693728]
 [ 0.04528654]
 [ 0.14788602]
 [ 0.26724286]
 [ 0.26724286]
 [ 0.03785096]
 [ 0.12360468]
 [ 0.22336436]
 [ 0.22336436]]","[[-0.00343377]
 [-0.01121319]
 [-0.02026321]
 [-0.02026321]
 [-0.0087106 ]
 [-0.02844501]
 [-0.05140259]
 [-0.05140259]
 [-0.01228933]
 [-0.04013158]
 [-0.07252125]
 [-0.07252125]
 [-0.00964245]
 [-0.03148803]
 [-0.0569016 ]
 [-0.0569016 ]
 [ 0.00343377]
 [ 0.01121319]
 [ 0.02026321]
 [ 0.02026321]
 [ 0.0087106 ]
 [ 0.02844501]
 [ 0.05140259]
 [ 0.05140259]
 [ 0.01228933]
 [ 0.04013158]
 [ 0.07252125]
 [ 0.07252125]
 [ 0.00964245]
 [ 0.03148803]
 [ 0.0569016 ]
 [ 0.0569016 ]]"
9,10.0,0.025,0.10126608791442782,0.10254820561492624,0.0,-4995.0,"[[-0.01005616]
 [-0.03283901]
 [-0.05934294]
 [-0.05934294]
 [-0.02805927]
 [-0.09162928]
 [-0.16558205]
 [-0.16558205]
 [-0.04332529]
 [-0.14148143]
 [-0.25566921]
 [-0.25566921]
 [-0.03701926]
 [-0.12088869]
 [-0.21845633]
 [-0.21845633]
 [ 0.01005616]
 [ 0.03283901]
 [ 0.05934294]
 [ 0.05934294]
 [ 0.02805927]
 [ 0.09162928]
 [ 0.16558205]
 [ 0.16558205]
 [ 0.04332529]
 [ 0.14148143]
 [ 0.25566921]
 [ 0.25566921]
 [ 0.03701926]
 [ 0.12088869]
 [ 0.21845633]
 [ 0.21845633]]","[[-0.00368517]
 [-0.01203417]
 [-0.02174678]
 [-0.02174678]
 [-0.00941208]
 [-0.03073574]
 [-0.05554214]
 [-0.05554214]
 [-0.01337247]
 [-0.04366862]
 [-0.07891298]
 [-0.07891298]
 [-0.01056793]
 [-0.03451025]
 [-0.06236301]
 [-0.06236301]
 [ 0.00368517]
 [ 0.01203417]
 [ 0.02174678]
 [ 0.02174678]
 [ 0.00941208]
 [ 0.03073574]
 [ 0.05554214]
 [ 0.05554214]
 [ 0.01337247]
 [ 0.04366862]
 [ 0.07891298]
 [ 0.07891298]
 [ 0.01056793]
 [ 0.03451025]
 [ 0.06236301]
 [ 0.06236301]]"
