,Episode Batch,Mean Absolute Error,Mean Squared Error,Avg. Episode Length (t),Batch User Reward
0,1,1.6857248,2.841668102,122.8,-614
1,2,0.659884664,0.870895539,166.8,-834
2,3,0.584822611,1.026052458,163.4,-817
3,4,0.21378604,0.182817884,162.6,-813
4,5,0.342052179,0.584998467,200,-1000
5,6,0.272636589,0.445984257,161.4,-807
6,7,0.124496509,0.108495666,200,-1000
7,8,0.10689302,0.091408942,200,-1000
8,9,0.148205115,0.197682805,200,-1000
9,10,0.179972693,0.323901702,200,-1000
10,11,0.08407082,0.077746931,200,-1000
11,12,0.129806845,0.202197803,200,-1000
12,13,0.125832272,0.205838888,200,-1000
13,14,0.125055385,0.218943889,200,-1000
14,15,0.057630876,0.049819768,125.8,-629
15,16,0.056276388,0.05067251,200,-1000
16,17,0.050413021,0.043205036,162.8,-814
17,18,0.099306667,0.177512655,200,-1000
18,19,0.092146073,0.161327076,200,-1000
19,20,0.084693864,0.143461012,200,-1000
20,21,0.082151863,0.1417275,160.2,-801
21,22,0.062289396,0.085359314,200,-1000
22,23,0.048933144,0.055072408,163.2,-816
23,24,0,0,123,-615
24,25,0.064538888,0.104131701,121.8,-609
25,26,0.054704114,0.077806042,200,-1000
26,27,0.05007515,0.067703057,200,-1000
27,28,0.063344272,0.11234991,160.4,-802
28,29,0.057126494,0.094639654,161.8,-809
29,30,0.03239933,0.031491497,165,-825
30,31,0.047895007,0.071111884,200,-1000
31,32,0.040118861,0.051504737,200,-1000
32,33,0.035703586,0.04206662,200,-1000
33,34,0.045949998,0.071787678,200,-1000
34,35,0.049291118,0.0850365,161.2,-806
35,36,0.049599529,0.088564078,200,-1000
36,37,0.033525229,0.041585817,200,-1000
37,38,0.032877534,0.041075426,120.4,-602
38,39,0.045923413,0.082249434,200,-1000
39,40,0,0,161.6,-808
40,41,0,0,163.6,-818
41,42,0.042513882,0.075912067,200,-1000
42,43,0.037522609,0.060541686,164,-820
43,44,0.036669823,0.059165739,200,-1000
44,45,0.037641717,0.06376045,200,-1000
45,46,0.03779751,0.065717982,200,-1000
46,47,0.034329196,0.055389202,160.8,-804
47,48,0.029760785,0.042513806,163,-815
48,49,0.025706531,0.03238046,200,-1000
49,50,0.035229701,0.06205659,200,-1000
50,51,0.025845196,0.034066682,162.2,-811
51,52,0,0,124.4,-622
52,53,0.032550738,0.056156179,160.4,-802
53,54,0.027971969,0.042251277,123.8,-619
54,55,0.020862376,0.023938129,200,-1000
55,56,0.024837953,0.034547738,200,-1000
56,57,0.031326018,0.055935207,161.2,-806
57,58,0.019220163,0.02142605,200,-1000
58,59,0.021175361,0.026455359,161.4,-807
59,60,0,0,162.2,-811
60,61,0.016788783,0.017193657,160.4,-802
61,62,0.026023745,0.041988589,161,-805
62,63,0.027227883,0.046705531,200,-1000
63,64,0.021472223,0.029507607,200,-1000
64,65,0.02681288,0.046730484,200,-1000
65,66,0.017385313,0.019948441,163,-815
66,67,0.026290821,0.046310888,161.4,-807
67,68,0.024611216,0.041188413,160.6,-803
68,69,0.025878015,0.046207345,200,-1000
69,70,0.018340051,0.023545022,200,-1000
70,71,0.016141518,0.01849895,200,-1000
71,72,0.019693681,0.027924556,200,-1000
72,73,0.022959153,0.038479956,164.2,-821
73,74,0.023111634,0.039526923,200,-1000
74,75,0.011445478,0.009824922,200,-1000
75,76,0.011762725,0.010515488,200,-1000
76,77,0.023360495,0.042019879,200,-1000
77,78,0.011984905,0.01120376,200,-1000
78,79,0.012305679,0.011962949,200,-1000
79,80,0.021564864,0.037203469,162.6,-813
80,81,0.021516508,0.037499771,163.8,-819
81,82,0.021309881,0.037237103,163,-815
82,83,0.020948018,0.036422014,200,-1000
83,84,0.019124776,0.030723592,200,-1000
84,85,0.020866348,0.037009382,200,-1000
85,86,0.019263585,0.031913372,200,-1000
86,87,0.019469854,0.032979543,127.4,-637
87,88,0.020154996,0.035747699,200,-1000
88,89,0.019032329,0.03223843,200,-1000
89,90,0,0,160.8,-804
90,91,0.019727168,0.035413664,161.8,-809
91,92,0.016763423,0.025853137,200,-1000
92,93,0.019127584,0.034025397,200,-1000
93,94,0.017642005,0.029256592,200,-1000
94,95,0.018159886,0.031329237,162,-810
95,96,0.018699711,0.033569202,200,-1000
96,97,0.013938444,0.018845181,200,-1000
97,98,0.017284462,0.029277758,200,-1000
98,99,0.016734024,0.027722727,161,-805
99,100,0,0,82.8,-414
100,101,0.008719592,0.00767916,200,-1000
101,102,0.010929112,0.01218344,164,-820
102,103,0.014764171,0.022452016,200,-1000
